ID,Name,Cost_for_one,Cuisines,Rating
122,Natraj Chole Bhature,150,North Indian,4.1
123,Rotti Walla,150,North Indian,3.9
123,Rotti Walla,150, South Indian,3.9
123,Rotti Walla,150, Chinese,3.9
123,Rotti Walla,150, Mughlai,3.9
123,Rotti Walla,150, Biryani,3.9
123,Rotti Walla,150, Fast Food,3.9
123,Rotti Walla,150, Beverages,3.9
123,Rotti Walla,150, Desserts,3.9
124,Calicut Cafe Restaurant,150,Kerala,3.4
124,Calicut Cafe Restaurant,150, South Indian,3.4
124,Calicut Cafe Restaurant,150, Biryani,3.4
124,Calicut Cafe Restaurant,150, Chinese,3.4
124,Calicut Cafe Restaurant,150, Juices,3.4
124,Calicut Cafe Restaurant,150, Beverages,3.4
124,Calicut Cafe Restaurant,150, Shake,3.4
124,Calicut Cafe Restaurant,150, Sichuan,3.4
125,Yumlane Pizza,150,Pizza,3.5
125,Yumlane Pizza,150, Fast Food,3.5
125,Yumlane Pizza,150, Desserts,3.5
125,Yumlane Pizza,150, Beverages,3.5
126,New Krishna Sagar,150,South Indian,3.7
